,bagni,locali,piano,prezzo(€),superficie
744,3,5+,,€ 1.600.000,313
745,2,4,6,€ 419.000,120
746,1,3,R,€ 324.000,109
747,1,3,,€ 289.000,130
748,,,T,€ 129.000,45
749,1,1,T,€ 140.000,40
750,1,3,4,€ 460.000,110
751,2,4,1,€ 349.000,99
752,1,1,1,€ 160.000,40
753,2,4,4,€ 1.200.000,229
754,2,4,,€ 359.000,158
755,2,5+,3,€ 645.000,168
756,1,2,T,€ 155.000,60
757,2,5+,1,€ 690.000,240
758,2,5,4,€ 600.000,120
759,,3,,€ 171.000,72
760,,5,,€ 335.000,145
761,,2,,€ 160.000,60
762,1,2,1,€ 169.000,45
763,1,2,T,€ 259.000,56
764,,5+,,€ 4.500.000,757
765,1,4,1,€ 200.000,95
766,3+,5+,,,528
767,3+,5+,4,€ 2.900.000,592
768,2,3,3,€ 320.000,100
769,2,4,1,€ 250.000,154
770,1,3,1,€ 369.000,101
771,3+,5+,,€ 1.180.000,276
772,,,,€ 2.300.000,815
773,3,5,1,€ 571.000,155
774,1,3,3,€ 260.000,60
775,3,5+,,€ 445.000,180
776,1,4,R,€ 469.000,130
777,1,3,A,€ 250.000,60
778,1,3,3,€ 165.000,58
779,3,5+,,€ 445.000,180
780,1,3,3,€ 110.000,80
781,3,5+,,€ 506.000,200
782,3+,5+,,€ 790.000,450
783,1,3,T,€ 180.000,90
784,,3,,€ 125.000,75
785,,1,,€ 75.000,15
786,,1,,€ 38.000,13
787,,2-3,,€ 95.000,60
788,,,,,50.000
789,2,3,1,€ 199.000,76
790,2,3,1,€ 290.000,84
791,2,3,2,€ 289.000,102
792,2,5+,,€ 237.000,85
793,1,3,3,€ 199.000,85
794,1,1,1,€ 118.000,30
795,1,3,3,€ 645.000,73
796,1,2,1,€ 205.000,45
